result,val1,val2,val3,val4,val5,val6,val7,val8,val9,val10,val11,val12,val13,val14,val15,val16,val17,val18,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31
1.0,1,8370,130,2,2,B,0.311,3.0,0.0,0.0,0.0,0.51,18.6,22.1,4.67,5.12,52.5,8.2,9.6,7.0,400.0,396.0,5.94,0.0,0.0,0.0,2.3,4.2,5.62,0.0,0.0
0.0,1,8370,130,3,5,C,0.0,3.0,0.0,0.0,0.0,0.52,18.9,22.4,4.85,5.05,111.3,6.8,9.9,6.4,398.0,423.0,5.9,-0.1,0.0,338.0,0.5,2.2,5.46,-0.1,0.0
0.0,3,15169,120,3,5,B,0.0,1.0,0.0,0.0,0.0,0.52,21.7,22.4,4.92,5.07,93.9,0.0,0.4,7.4,432.0,394.0,5.33,0.0,0.0,146.0,1.9,4.6,5.7,-0.1,0.0
0.0,3,15169,120,1,6,B,0.0,1.0,0.0,0.0,0.0,0.53,22.4,21.8,4.88,4.9,-0.1,0.1,-0.4,0.0,395.0,446.0,5.84,5.5,80.4,146.0,6.6,-0.2,5.49,-0.1,15.8
0.0,3,15169,120,1,1,D,0.0,1.0,0.0,0.0,0.0,0.52,22.1,21.7,4.93,5.17,-0.1,0.0,-0.4,0.0,392.0,444.0,5.9,-0.1,0.0,0.0,-0.2,-0.4,5.81,-0.1,0.3
1.0,3,15169,120,1,6,C,0.598,1.0,0.287,1.0,1.0,0.52,22.0,21.7,4.93,5.11,2.6,0.0,-0.3,7.2,446.0,400.0,5.83,0.0,0.0,126.0,5.3,5.8,5.52,3.1,0.0
1.0,3,15169,120,1,5,C,0.396,1.0,0.0,0.0,0.0,0.51,22.1,22.2,4.93,4.93,53.4,0.0,-0.3,8.2,370.0,444.0,5.9,-0.1,0.0,134.0,-0.3,-0.3,5.81,0.0,0.2
0.0,3,15169,120,1,2,D,0.0,1.0,0.0,0.0,0.0,0.52,22.0,22.3,4.92,5.09,101.5,0.0,6.8,4.6,387.0,442.0,5.9,-0.1,0.0,146.0,-0.2,-0.4,5.57,0.1,0.0
0.0,3,15169,120,2,2,D,0.0,1.0,0.0,0.0,0.0,0.52,22.3,22.0,4.81,5.08,65.4,0.0,0.0,7.7,450.0,432.0,5.78,2.0,0.0,0.0,3.4,1.0,5.49,0.0,0.0
0.0,3,15169,120,1,1,B,0.0,1.0,0.0,0.0,0.0,0.52,21.5,21.7,4.93,5.2,0.0,0.0,-0.4,0.3,397.0,393.0,5.8,1.9,0.0,0.0,-0.2,-0.3,5.78,-0.1,0.0
0.0,3,15169,120,1,4,B,0.0,1.0,0.0,0.0,0.0,0.52,21.9,21.8,4.92,5.18,-0.1,0.0,-0.4,0.0,445.0,432.0,5.86,0.0,0.0,0.0,2.9,3.7,5.54,0.0,0.1
0.0,3,15169,120,1,2,B,0.0,1.0,0.0,0.0,0.0,0.51,21.9,21.7,4.79,5.12,-0.1,0.0,-0.4,0.1,374.0,448.0,5.89,6.5,5.7,0.0,7.1,-0.2,5.48,0.0,15.5
0.0,3,15169,120,2,2,B,0.0,1.0,0.0,0.0,0.0,0.51,22.1,21.7,4.93,5.19,-0.3,0.0,-0.4,0.0,431.0,399.0,5.91,0.0,0.0,125.0,-0.2,-0.2,5.21,0.0,0.0
1.0,3,15169,120,2,5,B,0.633,1.0,0.321,1.0,1.0,0.52,21.6,22.0,4.87,5.1,-0.2,0.0,-0.4,0.0,433.0,398.0,5.89,-0.1,0.0,134.0,2.3,4.4,5.68,0.1,-0.1
0.0,3,15169,120,2,6,C,0.0,1.0,0.0,0.0,0.0,0.52,21.8,22.4,4.93,5.02,93.3,0.0,0.3,7.3,399.0,374.0,5.87,7.5,8.9,124.0,-0.2,-0.3,5.78,0.1,0.0
0.0,3,15169,120,2,3,B,0.0,1.0,0.0,0.0,0.0,0.52,21.5,22.2,4.81,5.18,-0.1,0.0,-0.4,0.0,400.0,387.0,5.75,-0.1,0.0,146.0,-0.1,-0.3,5.79,0.1,0.0
0.0,3,15169,120,2,6,B,0.0,1.0,0.0,0.0,0.0,0.53,22.1,21.7,4.82,5.11,-0.2,0.1,-0.3,1.5,448.0,431.0,5.89,-0.1,0.0,0.0,-0.1,-0.3,5.76,0.0,-0.1
1.0,3,15169,120,3,5,C,0.511,1.0,0.413,1.0,1.0,0.51,22.2,22.1,4.92,5.04,-0.1,0.0,-0.4,0.0,394.0,424.0,5.79,4.6,1.0,0.0,2.8,-0.3,5.71,-0.2,0.1
0.0,3,15169,120,3,6,C,0.0,1.0,0.0,0.0,0.0,0.53,22.6,21.9,4.9,5.18,-0.2,0.1,-0.4,0.0,397.0,395.0,5.82,-0.1,0.0,147.0,-0.1,-0.4,5.51,0.1,0.0
0.0,3,15169,120,3,2,D,0.0,1.0,0.0,0.0,0.0,0.51,22.1,22.3,4.91,5.11,-0.1,0.0,-0.4,0.0,445.0,394.0,5.79,-0.1,0.0,146.0,-0.1,-0.3,5.78,0.0,0.0
0.0,3,15169,120,2,1,B,0.0,1.0,0.0,0.0,0.0,0.52,22.1,21.9,4.85,5.13,-0.1,0.1,-0.4,0.0,442.0,433.0,5.9,-0.1,0.0,146.0,-0.2,-0.3,5.8,-0.2,-0.1
0.0,3,15169,120,2,4,B,0.0,1.0,0.0,0.0,0.0,0.52,22.2,21.7,4.93,5.2,-0.2,0.0,-0.3,6.1,433.0,397.0,5.9,-0.1,0.0,146.0,0.5,2.4,5.66,0.0,0.1
0.0,3,15169,120,3,1,B,0.0,1.0,0.0,0.0,0.0,0.52,22.0,22.0,4.84,5.16,102.6,0.0,-0.3,7.6,375.0,432.0,5.8,1.8,0.0,128.0,-0.2,-0.3,5.83,0.0,0.1
1.0,3,15169,120,3,2,B,0.447,1.0,0.415,1.0,1.0,0.51,22.2,21.7,4.92,5.15,-0.2,0.1,-0.4,0.1,395.0,370.0,5.9,-0.1,0.0,128.0,-0.1,-0.3,5.75,0.0,-0.4
1.0,3,15169,120,3,6,B,0.627,1.0,0.327,1.0,1.0,0.52,21.7,22.2,4.92,5.22,-0.2,109.1,7.4,3.4,444.0,431.0,5.88,-0.1,0.0,125.0,-0.2,-0.4,5.79,0.0,0.0
0.0,3,15169,120,6,6,B,0.0,1.0,0.0,0.0,0.0,0.52,21.1,21.9,4.92,5.04,119.4,3.9,7.4,6.0,446.0,430.0,5.92,5.7,110.8,128.0,2.9,4.7,5.23,-0.1,0.2
1.0,3,15169,120,6,1,D,0.482,1.0,0.0,0.0,0.0,0.52,21.4,22.0,4.92,5.09,-0.2,0.0,-0.4,0.0,376.0,446.0,5.82,7.2,39.8,135.0,0.0,-0.2,5.66,0.3,0.0
0.0,3,15169,120,6,2,D,0.0,1.0,0.0,0.0,0.0,0.53,21.3,21.8,4.9,5.08,-0.2,0.1,-0.4,0.0,397.0,446.0,5.83,-0.1,0.0,0.0,6.5,6.4,5.02,49.4,-0.1
0.0,3,15169,120,6,5,C,0.0,1.0,0.0,0.0,0.0,0.52,19.7,22.3,4.93,5.08,99.5,0.1,-0.3,7.6,430.0,392.0,5.9,-0.1,0.0,0.0,-0.2,-0.3,5.82,0.0,0.0
1.0,3,15169,120,6,6,C,0.485,1.0,0.508,1.0,1.0,0.52,20.5,22.4,4.91,5.1,-0.1,0.0,-0.4,0.0,451.0,430.0,5.12,0.0,0.0,146.0,5.9,7.8,5.77,17.8,0.1
